SALESPERSON NAME                         REGION
FISHER              PEGGY                SOUTH
SMITH               JOE                  NORTH
MOUSE               MICKEY               WEST
GATES               TERRY                SOUTH
SHILLINGS           PATTI                NORTH
CAI                 GUORAI               EAST
KHALIL              ZAHRA                WEST
ANDERSON            LILA                 SOUTH
HOPKE               JOAN                 NORTH
YOUNG               REGINA               NORTH
RYOO                JUNGWOO              EAST
                                      0001779400
